&Door,StartX,StartY,EndX,EndY,4/arrow,5/id,6/inComp,7/exitSign,,,,,,,,,,,



&Exit,StartX,StartY,EndX,EndY,4/arrow,5/id,6/inComp,7/exitSign,,,,,,,,,,,
ExitDown,23,15.6,24.6,16.3,0,0,1,0,,,,,,,,,,,
ExitTop,29.8,3,30.3,4.6,0,1,1,0,,,,,,,,,,,

&Wall,start X,start Y,end X,end Y,4/arrow,5/id,6/inComp,7/mode,pointerX1,pointerY1,pointerX2,pointerY2,,,,,,,



&Ped,00/InitalX,01/InitialY,02/DestX,03_DestY,04_tau,05_tpre,06_p,07/pMode,08/aType,09/interRange,10/ID,11/moving_tau,12/tpre_tau,13/talk_tau,talk_prob,inComp,radius,mass,maxSpeed
Person0,6.33,13,66,23,0.3,3,0,fixed,active,3,0,0.3,0.7,2.6,0.7,1,0.35,47,1.2
Person1,7.33,15,66,23,0.6,16,0.6,random,active,2,1,0.6,2.3,3.2,0.7,1,0.35,60,1.2
Person2,8.33,17,66,13,3,17,0,fixed,active,3,2,3,2.2,2.3,0.7,1,0.35,43,1.2
Person3,9.33,3,66,23,2.3,17,0.3,random,active,6,3,2.3,0.3,1.6,0.7,1,0.35,60,1.2
Person4,10.33,3,66,22,1.3,32,0.4,random,active,3,4,1.3,0.6,3.3,0.7,1,0.35,60,1.2
Person5,7.33,3,66,13,1.6,33,0.36,random,follow,2,5,1.6,1.6,3.6,0.7,1,0.35,60,1.2
Person6,22.33,12,66,22,1.7,36,0.63,random,follow,6,6,1.7,2.6,4.6,0.7,1,0.35,76,1.2
Person7,23.33,16,66,23,12,47,0.66,random,search,3,7,12,0.3,3.6,0.7,0,0.35,60,1.2


&Ped2Exit,Exit0,Exit1,Exit2,Exit3,,,,,,,,,,,,,,,
Person0,0.3,0.2,0.2,0.2,,,,,,,,,,,,,,,
Person1,0.7,0.3,0,0,,,,,,,,,,,,,,,
Person2,0.8,0.2,0,0,,,,,,,,,,,,,,,
Person3,0.7,0.2,0.1,0.1,,,,,,,,,,,,,,,
Person4,0.6,0.3,0.1,0.1,,,,,,,,,,,,,,,
Person5,0.7,0.1,0.2,0.2,,,,,,,,,,,,,,,
Person6,0.3,0.6,0.1,0.1,,,,,,,,,,,,,,,
Person7,0.3,0.3,0.2,0.2,,,,,,,,,,,,,,,

